LagList,Cost,Nu,Gamma,Correlacion
0.125,1,16,0.4,0.467637980394558
0.125,2,2,0.1,0.467548108291036
1,1,32,0.9,0.467477766587674
0.25,3,16,0.9,0.467475191533793
0.125,5,16,0.6,0.4674639623312
0.25,3,16,1,0.467453143762939
0.25,1,2,0.3,0.467447310961376
0.0625,3,32,0.6,0.467436977342089
0.5,2,16,0.4,0.467421434984321
2,1,0.25,0.8,0.467338432174593
0.0625,6,4,0.8,0.467277664842073
4,1,1,0.2,0.467030769023791
0.125,3,1,0.7,0.466804942909279
0.5,1,32,1,0.466804065062121
1,1,0.5,0.2,0.466384852749413
4,1,0.25,0.4,0.466357895361944
1,1,1,0.2,0.466345624671622
0.25,2,0.5,0.7,0.466331659900877
0.25,1,64,0.2,0.466330634158465
0.5,2,0.5,0.7,0.466326790076345
0.25,1,8,0.5,0.466311847909959
0.5,1,0.5,0.6,0.466261113671988
1,1,128,0.7,0.466144321425792
0.25,2,16,0.7,0.466136010970518
0.25,2,8,0.2,0.466108383318896
2,1,0.25,0.9,0.465910430910384
2,1,64,0.6,0.465869551730116
0.125,1,16,0.3,0.46586013535992
0.25,3,0.5,0.8,0.465796413543287
0.25,2,1,0.8,0.465734994304684
0.5,1,2048,0.3,0.465709046641451
0.125,6,8,0.8,0.465705149434936
0.125,2,8,0.3,0.465615116164558
1,1,0.5,0.9,0.465560380166644
0.5,2,8,0.4,0.465527906266193
0.125,2,2,0.5,0.465499004769193
0.25,1,4,0.3,0.465472353236832
0.125,3,1,0.8,0.465454757518426
0.125,2,16,0.2,0.465442663142528
0.125,7,8,1,0.465404922325062
0.25,1,2,0.5,0.465385580207987
0.25,2,128,0.9,0.465371015383875
0.125,1,128,0.4,0.465353234096645
2,1,32,0.2,0.465298299310853
0.125,7,8,0.9,0.46528920948211
0.125,7,8,0.8,0.465263255134609
1,1,512,0.4,0.465251767183801
0.25,2,2,0.8,0.465177030294364
0.125,6,8,0.9,0.464971623357954
0.0625,2,512,0.3,0.464949537882757
0.125,6,8,1,0.464915540954621
2,1,64,0.7,0.464889764122819
0.125,1,64,0.3,0.464880106005153
0.25,1,512,0.6,0.464711871151553
0.5,1,2,0.7,0.464711712322503
0.125,1,32,0.3,0.464628374727852
0.125,7,2,0.6,0.464607489970816
0.25,1,16,0.5,0.464562215498432
0.125,1,32,0.4,0.464554202403088
0.5,1,0.125,0.6,0.464540775326872
0.25,2,256,0.3,0.464440914665226
0.0625,2,8,0.1,0.464379280844037
0.25,2,128,1,0.46436307663216
0.25,1,128,0.5,0.464349410604696
0.5,2,64,0.3,0.46434638175048
0.5,2,0.5,0.8,0.464328297044386
0.5,1,4,0.8,0.464300651973865
0.125,2,2,0.6,0.464281150054493
0.125,3,4,0.6,0.464257707884406
0.25,2,256,0.9,0.46421774072851
0.25,2,0.5,0.6,0.464084745183988
2,1,0.5,0.2,0.464048316887228
0.0625,3,16,0.6,0.463994032196177
0.25,1,512,0.8,0.463925323671569
1,1,256,1,0.463901913216235
0.125,3,16,0.4,0.463871654116757
0.0625,6,16,0.5,0.463814225201874
0.125,3,2,0.6,0.463812287698099
0.5,1,0.25,0.3,0.463731737612393
0.25,2,1,0.4,0.463715239789276
0.25,2,16,0.2,0.463690415759873
4,1,4,0.6,0.463671397762875
0.125,2,4,0.3,0.463651103218224
0.125,7,1,0.8,0.463637277480163
1,1,2,0.2,0.463616112347416
0.25,1,1024,0.8,0.46360565166292
0.125,1,1024,0.9,0.463585317258727
0.125,2,2,0.7,0.463473879978125
0.0625,1,512,0.3,0.463297765819303
2,1,64,0.4,0.463289722281162
0.0625,2,2048,0.3,0.463288772243686
0.0625,1,2048,0.3,0.463261899669474
0.25,1,32,0.5,0.463255220971386
0.25,1,1,0.3,0.463237509916021
0.5,1,32,0.7,0.463067348184427
0.0625,6,4,0.4,0.463019556767887
0.0625,6,16,0.6,0.462987359886599
0.0625,1,1024,0.3,0.462911985005398
2,1,0.125,0.4,0.462865325219035
1,1,128,0.9,0.462824770258382
0.25,1,0.5,0.6,0.462642870095935
0.125,7,8,0.7,0.462616552737625
0.125,2,2,0.4,0.462553301993274
0.0625,3,4,0.7,0.462544880930832
0.5,1,1,0.8,0.462493936593837
0.125,1,64,0.4,0.462400572063014
0.25,3,0.5,0.7,0.462400011592933
1,1,0.125,0.7,0.462300191758412
0.25,1,32,0.2,0.462232891163923
0.125,2,512,0.5,0.462214192123177
0.5,1,16,1,0.46216282988931
0.5,1,8,0.9,0.462148565644977
0.0625,2,64,0.4,0.462013584116936
0.0625,3,128,0.4,0.461918710146885
0.5,1,0.5,0.7,0.461880438346569
1,1,32,1,0.461747179241449
1,1,128,1,0.461734069370901
0.5,2,4,1,0.461706054747878
1,1,256,0.9,0.461683659071473
1,1,512,0.3,0.461664101290747
