batch_size;neurons;hidden_layers;dropout;epochs;optimization;activation;CORRELATION;FISHER
198;30;5;0.8;10;RMSprop;sigmoid;0.6989313790427639;0.8652082582303937
198;100;4;0.8;10;RMSprop;sigmoid;0.6989252671559144;0.865196309263788
198;30;5;0.8;10;RMSprop;hard_sigmoid;0.698922192540333;0.8651902983511762
198;60;3;0.8;10;RMSprop;hard_sigmoid;0.6989178603598817;0.8651818289689462
198;40;4;0.8;10;RMSprop;sigmoid;0.6989143043950424;0.8651748771576916
198;30;2;0.8;10;RMSprop;sigmoid;0.6989123562255339;0.8651710685697349
198;20;4;0.8;10;RMSprop;sigmoid;0.6989110463441409;0.865168507819108
198;80;3;0.8;10;RMSprop;hard_sigmoid;0.6989063282432202;0.8651592842508931
198;70;4;0.8;10;RMSprop;sigmoid;0.698903717051889;0.8651541795995541
198;90;3;0.8;10;RMSprop;hard_sigmoid;0.6988936835151566;0.8651345652490978
198;40;3;0.8;10;RMSprop;hard_sigmoid;0.6988806760901836;0.8651091381073502
198;70;3;0.8;10;RMSprop;hard_sigmoid;0.6988668318466339;0.8650820761307685
198;70;2;0.8;10;RMSprop;hard_sigmoid;0.6988594212168825;0.8650675906541835
198;100;3;0.8;10;RMSprop;hard_sigmoid;0.6988570114988788;0.8650628804680551
198;30;3;0.8;10;RMSprop;sigmoid;0.6988543908240518;0.8650577579676731
198;50;2;0.8;10;RMSprop;hard_sigmoid;0.6988372743569298;0.865024302178109
198;40;2;0.8;10;RMSprop;hard_sigmoid;0.6988357821484952;0.8650213855866147
198;80;2;0.8;10;RMSprop;sigmoid;0.6988350820572157;0.8650200172294138
198;80;3;0.8;10;RMSprop;sigmoid;0.6988240881484671;0.8649985295257956
198;20;5;0.8;10;RMSprop;hard_sigmoid;0.6988237651482642;0.8649978982284559
198;80;2;0.8;10;RMSprop;hard_sigmoid;0.6988210876072064;0.8649926650502581
198;20;2;0.8;10;RMSprop;hard_sigmoid;0.698817665023369;0.8649859757627721
198;90;2;0.8;10;RMSprop;hard_sigmoid;0.6988168266015075;0.8649843371141683
198;20;3;0.8;10;RMSprop;hard_sigmoid;0.6987963742705874;0.8649443653403679
